Año;Numero de Mes;Mes;Destino;Volumen Exportado (kg);Valor FOB (USD);Precio FOB por kg (USD)
2016;9;Septiembre;Spain;;;
2016;9;Septiembre;Syria;;;
2016;9;Septiembre;USA;;;
2016;10;Octubre;Chile;;;
2016;10;Octubre;Lebanon;;;
2016;10;Octubre;Others;;;
2016;10;Octubre;Spain;;;
2016;10;Octubre;Syria;;;
2016;10;Octubre;USA;;;
2016;11;Noviembre;Chile;;;
2016;11;Noviembre;Lebanon;;;
2016;11;Noviembre;Others;;;
2016;11;Noviembre;Spain;;;
2016;11;Noviembre;Syria;;;
2016;11;Noviembre;USA;;;
2016;12;Diciembre;Chile;;;
2016;12;Diciembre;Lebanon;;;
2016;12;Diciembre;Others;;;
2016;12;Diciembre;Spain;;;
2016;12;Diciembre;Syria;;;
2016;12;Diciembre;USA;;;
2017;1;Enero;Chile;;;
2017;1;Enero;Lebanon;;;
2017;1;Enero;Others;;;
2017;1;Enero;Spain;;;
2017;1;Enero;Syria;;;
2017;1;Enero;USA;;;
2017;2;Febrero;Chile;;;
2017;2;Febrero;Lebanon;;;
2017;2;Febrero;Others;;;
2017;2;Febrero;Spain;;;
2017;2;Febrero;Syria;;;
2017;2;Febrero;USA;;;
2017;3;Marzo;Chile;;;
2017;3;Marzo;Lebanon;;;
2017;3;Marzo;Others;;;
2017;3;Marzo;Spain;;;
2017;3;Marzo;Syria;;;
2017;3;Marzo;USA;;;
2017;4;Abril;Chile;;;
2017;4;Abril;Lebanon;;;
2017;4;Abril;Others;;;
2017;4;Abril;Spain;;;
2017;4;Abril;Syria;;;
2017;4;Abril;USA;;;
2017;5;Mayo;Chile;;;
2017;5;Mayo;Lebanon;;;
2017;5;Mayo;Others;;;
2017;5;Mayo;Spain;;;
2017;5;Mayo;Syria;;;
2017;5;Mayo;USA;;;
2017;6;Junio;Chile;;;
2017;6;Junio;Lebanon;;;
2017;6;Junio;Others;;;
2017;6;Junio;Spain;;;
2017;6;Junio;Syria;;;
2017;6;Junio;USA;;;
2017;7;Julio;Chile;;;
2017;7;Julio;Lebanon;;;
2017;7;Julio;Others;;;
2017;7;Julio;Spain;;;
2017;7;Julio;Syria;;;
2017;7;Julio;USA;;;
2017;8;Agosto;Chile;;;
2017;8;Agosto;Lebanon;;;
2017;8;Agosto;Others;;;
2017;8;Agosto;Spain;;;
2017;8;Agosto;Syria;;;
2017;8;Agosto;USA;;;
2017;9;Septiembre;Chile;;;
2017;9;Septiembre;Lebanon;;;
2017;9;Septiembre;Others;;;
2017;9;Septiembre;Spain;;;
2017;9;Septiembre;Syria;;;
2017;9;Septiembre;USA;;;
2017;10;Octubre;Chile;;;
2017;10;Octubre;Lebanon;;;
2017;10;Octubre;Others;;;
2017;10;Octubre;Spain;;;
2017;10;Octubre;Syria;;;
2017;10;Octubre;USA;;;
2017;11;Noviembre;Chile;;;
2017;11;Noviembre;Lebanon;;;
2017;11;Noviembre;Others;;;
2017;11;Noviembre;Spain;;;
2017;11;Noviembre;Syria;;;
2017;11;Noviembre;USA;;;
2017;12;Diciembre;Chile;;;
2017;12;Diciembre;Lebanon;;;
2017;12;Diciembre;Others;;;
2017;12;Diciembre;Spain;;;
2017;12;Diciembre;Syria;;;
2017;12;Diciembre;USA;;;
2018;1;Enero;Chile;;;
2018;1;Enero;Lebanon;;;
2018;1;Enero;Others;;;
2018;1;Enero;Spain;;;
2018;1;Enero;Syria;;;
2018;1;Enero;USA;;;
2018;2;Febrero;Chile;;;
2018;2;Febrero;Lebanon;;;
2018;2;Febrero;Others;;;
2018;2;Febrero;Spain;;;
2018;2;Febrero;Syria;;;
2018;2;Febrero;USA;;;
2018;3;Marzo;Chile;;;
2018;3;Marzo;Lebanon;;;
2018;3;Marzo;Others;;;
2018;3;Marzo;Spain;;;
2018;3;Marzo;Syria;;;
2018;3;Marzo;USA;;;
2018;4;Abril;Chile;;;
2018;4;Abril;Lebanon;;;
2018;4;Abril;Others;;;
2018;4;Abril;Spain;;;
2018;4;Abril;Syria;;;
2018;4;Abril;USA;;;
2018;5;Mayo;Chile;;;
2018;5;Mayo;Lebanon;;;
2018;5;Mayo;Others;;;
2018;5;Mayo;Spain;;;
2018;5;Mayo;Syria;;;
2018;5;Mayo;USA;;;
2018;6;Junio;Chile;;;
2018;6;Junio;Lebanon;;;
2018;6;Junio;Others;;;
2018;6;Junio;Spain;;;
2018;6;Junio;Syria;;;
2018;6;Junio;USA;;;
2018;7;Julio;Chile;;;
2018;7;Julio;Lebanon;;;
2018;7;Julio;Others;;;
2018;7;Julio;Spain;;;
2018;7;Julio;Syria;;;
2018;7;Julio;USA;;;
2018;8;Agosto;Chile;;;
2018;8;Agosto;Lebanon;;;
2018;8;Agosto;Others;;;
2018;8;Agosto;Spain;;;
2018;8;Agosto;Syria;;;
2018;8;Agosto;USA;;;
2018;9;Septiembre;Chile;;;
2018;9;Septiembre;Lebanon;;;
2018;9;Septiembre;Others;;;
2018;9;Septiembre;Spain;;;
2018;9;Septiembre;Syria;;;
2018;9;Septiembre;USA;;;
2018;10;Octubre;Chile;;;
2018;10;Octubre;Lebanon;;;
2018;10;Octubre;Others;;;
2018;10;Octubre;Spain;;;
2018;10;Octubre;Syria;;;
2018;10;Octubre;USA;;;
2018;11;Noviembre;Chile;;;
2018;11;Noviembre;Lebanon;;;
2018;11;Noviembre;Others;;;
2018;11;Noviembre;Spain;;;
2018;11;Noviembre;Syria;;;
2018;11;Noviembre;USA;;;
2018;12;Diciembre;Chile;;;
2018;12;Diciembre;Lebanon;;;
2018;12;Diciembre;Others;;;
2018;12;Diciembre;Spain;;;
2018;12;Diciembre;Syria;;;
2018;12;Diciembre;USA;;;
2019;1;Enero;Chile;;;
2019;1;Enero;Lebanon;;;
2019;1;Enero;Others;;;
2019;1;Enero;Spain;;;
2019;1;Enero;Syria;;;
2019;1;Enero;USA;;;
2019;2;Febrero;Chile;;;
2019;2;Febrero;Lebanon;;;
2019;2;Febrero;Others;;;
2019;2;Febrero;Spain;;;
2019;2;Febrero;Syria;;;
2019;2;Febrero;USA;;;
2019;3;Marzo;Chile;;;
2019;3;Marzo;Lebanon;;;
2019;3;Marzo;Others;;;
2019;3;Marzo;Spain;;;
2019;3;Marzo;Syria;;;
2019;3;Marzo;USA;;;
2019;4;Abril;Chile;;;
2019;4;Abril;Lebanon;;;
2019;4;Abril;Others;;;
2019;4;Abril;Spain;;;
2019;4;Abril;Syria;;;
2019;4;Abril;USA;;;
2019;5;Mayo;Chile;;;
2019;5;Mayo;Lebanon;;;
2019;5;Mayo;Others;;;
2019;5;Mayo;Spain;;;
2019;5;Mayo;Syria;;;
2019;5;Mayo;USA;;;
2019;6;Junio;Chile;;;
2019;6;Junio;Lebanon;;;
2019;6;Junio;Others;;;
2019;6;Junio;Spain;;;
2019;6;Junio;Syria;;;
2019;6;Junio;USA;;;
2019;7;Julio;Chile;;;
2019;7;Julio;Lebanon;;;
2019;7;Julio;Others;;;
2019;7;Julio;Spain;;;
2019;7;Julio;Syria;;;
2019;7;Julio;USA;;;
2019;8;Agosto;Chile;;;
2019;8;Agosto;Lebanon;;;
2019;8;Agosto;Others;;;
2019;8;Agosto;Spain;;;
2019;8;Agosto;Syria;;;
2019;8;Agosto;USA;;;
2019;9;Septiembre;Chile;;;
2019;9;Septiembre;Lebanon;;;
2019;9;Septiembre;Others;;;
2019;9;Septiembre;Spain;;;
2019;9;Septiembre;Syria;;;
2019;9;Septiembre;USA;;;
2019;10;Octubre;Chile;;;
2019;10;Octubre;Lebanon;;;
2019;10;Octubre;Others;;;
2019;10;Octubre;Spain;;;
2019;10;Octubre;Syria;;;
2019;10;Octubre;USA;;;
2019;11;Noviembre;Chile;;;
2019;11;Noviembre;Lebanon;;;
2019;11;Noviembre;Others;;;
2019;11;Noviembre;Spain;;;
2019;11;Noviembre;Syria;;;
2019;11;Noviembre;USA;;;
2019;12;Diciembre;Chile;;;
